time,username,tweet,company,sentiment_of_tweet,confidence_of_sentiment,date
1485845937,Saketyou,Trump has introduced the visa bill but #CorporateUS  will have to choose  #indianIT #infosys #wipro #TechM #TCS as #TINA (no alternative) ☺,NULL,NULL,NULL,Tue Jan 31 06:58:36 +0000 2017
1485845969,moneycontrolcom,".@Infosys , @TCS fall 3-5%; #h1bvisa  bill proposes double minimum wage https://t.co/fsOEsq4xpN",NULL,NULL,NULL,Tue Jan 31 06:59:08 +0000 2017
1485845978,waglenikhil,"Trump's Next Immigration Move Could Hit Infy, Wipro, TCS https://t.co/EHKMEgizfS",NULL,NULL,NULL,Tue Jan 31 06:59:17 +0000 2017
1485846007,VishaKirimi,"RT @moneycontrolcom: .@Infosys , @TCS fall 3-5%; #h1bvisa  bill proposes double minimum wage https://t.co/fsOEsq4xpN",NULL,NULL,NULL,Tue Jan 31 06:59:46 +0000 2017
1485846035,shraddha_babla,.@shraddha_babla @TCS @Infosys @bse_sensex Nifty IT Index Drops Most Since U.S. Election On Visa Concerns https://t.co/nFfceSG8MI,NULL,NULL,NULL,Tue Jan 31 07:00:14 +0000 2017
1485846054,rehack20,"Does Trump think, too many Mozlems work there?! https://t.co/PvNALjXmuM",NULL,NULL,NULL,Tue Jan 31 07:00:33 +0000 2017
1485846059,ambuj25,Better quality control? https://t.co/LZLA3UDQtE,NULL,NULL,NULL,Tue Jan 31 07:00:38 +0000 2017
1485846108,IamRashmiPatel,"RT @waglenikhil: Trump's Next Immigration Move Could Hit Infy, Wipro, TCS https://t.co/EHKMEgizfS",NULL,NULL,NULL,Tue Jan 31 07:01:20 +0000 2017
1485846133,ETMarkets,"TCS sees biggest intraday fall since Nov 9, 2016 
#Sensex #Nifty Live: https://t.co/uiP1i7eQbf",NULL,NULL,NULL,Tue Jan 31 07:01:51 +0000 2017
1485846167,SPCES,"RT @waglenikhil: Trump's Next Immigration Move Could Hit Infy, Wipro, TCS https://t.co/EHKMEgizfS",NULL,NULL,NULL,Tue Jan 31 07:02:26 +0000 2017
1485846184,iamrana,"RT @waglenikhil: Trump's Next Immigration Move Could Hit Infy, Wipro, TCS https://t.co/EHKMEgizfS",NULL,NULL,NULL,Tue Jan 31 07:02:42 +0000 2017
1485846220,CNBCBazaar,"TCS sees biggest intraday fall since Nov 9, 2016 
#Sensex #Nifty Live: https://t.co/zpKeZrYr07",NULL,NULL,NULL,Tue Jan 31 07:03:19 +0000 2017
1485846243,shobymo,"TCS SEES BIGGEST INTRADAY FALL SINCE NOV 9, 2016",NULL,NULL,NULL,Tue Jan 31 07:03:43 +0000 2017
1485846269,BloombergQuint,"Nifty IT Index leads rout.

https://t.co/sWRwIKnomH https://t.co/vTrikx8G4a",NULL,NULL,NULL,Tue Jan 31 07:04:08 +0000 2017
1485846303,scanman,"Infosys, TCS fall 3-5%; H1-B bill proposes double minimum wage. ??⚔️?? https://t.co/K0RbsazgWL",NULL,NULL,NULL,Tue Jan 31 07:04:42 +0000 2017
1485846326,SatinderRyatt,"RT @TCS_Europe: Pleased to be appointed the Strategic Partner of @ebsummiteurope, a leading platform for industry and government:… ",NULL,NULL,NULL,Tue Jan 31 07:05:04 +0000 2017
1485846330,Ani_tweet_kar,"RT @waglenikhil: Trump's Next Immigration Move Could Hit Infy, Wipro, TCS https://t.co/EHKMEgizfS",NULL,NULL,NULL,Tue Jan 31 07:05:10 +0000 2017
1485846357,NasrinzStory,Big setback for #Indian #IT cos #Infosys #TCS #Wipro fall 3-5% #h1b Bill proposes minimum wages hike to $130000 from $60000 #visa #stocks,NULL,NULL,NULL,Tue Jan 31 07:05:37 +0000 2017
1485846420,Imrozz,"@girishkuber @BDUTT @ravishndtv @anjanaomkashyap Now we have to decide on ""Swadeshi"" narrow mentality; is it Correc… https://t.co/IOcsp4b9xw",NULL,NULL,NULL,Tue Jan 31 07:06:39 +0000 2017
1485846462,MartinaAlban,RT @ChurchillRL: #WIN a #SpaBreak worth £100! RT this post and follow us to enter. Ends 31/01 Tcs and Cs apply. https://t.co/l3lLq1fglQ,NULL,NULL,NULL,Tue Jan 31 07:07:21 +0000 2017
1485846465,InnovativeKidz,"RT @waglenikhil: Trump's Next Immigration Move Could Hit Infy, Wipro, TCS https://t.co/EHKMEgizfS",NULL,NULL,NULL,Tue Jan 31 07:07:24 +0000 2017
1485846473,ehansari,"RT @waglenikhil: Trump's Next Immigration Move Could Hit Infy, Wipro, TCS https://t.co/EHKMEgizfS",NULL,NULL,NULL,Tue Jan 31 07:07:32 +0000 2017
1485846476,IndianCorpNews,"#moneycontrol #topnews Infosys, TCS fall 3-5%; H1-B bill proposes double minimum wage https://t.co/UXIxrPsE44",NULL,NULL,NULL,Tue Jan 31 07:07:35 +0000 2017
1485846658,PrudentBroking,"Infosys, TCS fall 3-5%; H1-B bill proposes double minimum wage
#PrudentUpdates",NULL,NULL,NULL,Tue Jan 31 07:10:37 +0000 2017
1485846851,joshi_j4,RT @shraddha_babla: .@TCS and @Infosys contribute 131 points to the 189-point drop in @bse_sensex as H-1B reform bill introduced in US Hous…,NULL,NULL,NULL,Tue Jan 31 07:13:49 +0000 2017
1485846894,maanniiiiiii,"Infosys, TCS, Tech Mahindra, Wipro",NULL,NULL,NULL,Tue Jan 31 07:14:33 +0000 2017
1485846895,SAMI_hadyh,"RT @waglenikhil: Trump's Next Immigration Move Could Hit Infy, Wipro, TCS https://t.co/EHKMEgizfS",NULL,NULL,NULL,Tue Jan 31 07:14:34 +0000 2017
1485846983,Tweetsandeep,"Trump's executive order on H1B visas hits Indian IT cos. Shares of TCS, Infosys, Wipro and HCL tech fall by upto 5% @IndianExpress",NULL,NULL,NULL,Tue Jan 31 07:16:01 +0000 2017
1485846992,paval,"Wow, salary doubled for all Desis. Our real-estate price will go up ya #hailTrump https://t.co/BAVrfQrwHE",NULL,NULL,NULL,Tue Jan 31 07:16:11 +0000 2017
1485847002,dila_LCS,"All-girls school hahahaha, *nod2
Missing TCS https://t.co/QXEe0meR9l",NULL,NULL,NULL,Tue Jan 31 07:16:21 +0000 2017
1485847003,IndianExpress,"RT @Tweetsandeep: Trump's executive order on H1B visas hits Indian IT cos. Shares of TCS, Infosys, Wipro and HCL tech fall by upto 5% @Indi…",NULL,NULL,NULL,Tue Jan 31 07:16:21 +0000 2017
1485847007,pranavmukul,"RT @Tweetsandeep: Trump's executive order on H1B visas hits Indian IT cos. Shares of TCS, Infosys, Wipro and HCL tech fall by upto 5% @Indi…",NULL,NULL,NULL,Tue Jan 31 07:16:26 +0000 2017
