username,tweet,company,sentiment_of_tweet,confidence_of_sentiment,date,time
lautanjobs,"SAS Executive Job at Reliance Jio Infocomm Limited https://t.co/j9YhAgPcpI / India #India #Jobs #JobSeekers #Employment #Recruiting #Hiring",Reliance,NULL,NULL,"2017-03-30 23:45:18",1491325302
bilkulsedhibaat,"Reliance Jio Prime Members, Samsung Galaxy S8 Features &amp; More: 360 Daily https://t.co/ySh4pRzXLM https://t.co/QShTOJgVh2",Reliance,NULL,NULL,"2017-03-30 23:31:29",1491325302
dinumis1983,"Reliance Jio Prime Members, Samsung Galaxy S8 Features &amp; More: 360 Daily https://t.co/4zX5XXDNVE https://t.co/6lMGqUnUvU",Reliance,NULL,NULL,"2017-03-30 23:31:28",1491325302
bakwasbandkar1,"Reliance Jio Prime Members, Samsung Galaxy S8 Features &amp; More: 360 Daily https://t.co/DFAohlL2We https://t.co/H9ufnuRFcW",Reliance,NULL,NULL,"2017-03-30 23:31:28",1491325303
lautanjobs,"Quality Check Executive Job at Reliance Jio Infocomm Limited https://t.co/UD5BH17IwH / India #India #Jobs #JobSeekers #Employment #Recruit…",Reliance,NULL,NULL,"2017-03-30 23:30:29",1491325303
GDBALA,"Reliance Jio nears 50 million paid subscribers ahead of free offer’s end.  https://t.co/k9m3AG1ANu",Reliance,NULL,NULL,"2017-03-30 23:26:50",1491325303
lautanjobs,"JCM Leadership Development Program Job at Reliance Jio Infocomm Limited https://t.co/lAKQKgbqPW / India #India #Jobs #JobSeekers #Employme…",Reliance,NULL,NULL,"2017-03-30 23:25:15",1491325303
NetiVaarthalu24,"#TeluguNews OMG! Reliance JIO OFFER To be EXTENDED! | Reliance JIO Prime Membership | మరో సూపర్ ఆఫర్ ఇచ్చిన జియో https://t.co/2FUtQKCeii",Reliance,NULL,NULL,"2017-03-30 23:25:02",1491325303
PerfectedHacks,"Reliance Jio Prime Memberships, Samsung Galaxy S8 Features, 1Gbps Broadband in India, and… https://t.co/9XK6fh1PJO https://t.co/QTBXwWnU1i",Reliance,NULL,NULL,"2017-03-30 23:04:55",1491325303
being_malik,"Reliance Jio Prime Memberships, Samsung Galaxy S8 Features, 1Gbps… https://t.co/DqTFaMUcZr #news #india #topsto",Reliance,NULL,NULL,"2017-03-30 22:42:28",1491325303
FinSentS_Eur600,"$FP:FP Reliance Industries completes sale of 76% stake in African firm to Total #TOTAL SA  https://t.co/QkqWTLnN1U #STOXX600",Reliance,NULL,NULL,"2017-03-30 22:22:13",1491325303
newsatspeed,"New post (Reliance Jio Prime Memberships, Samsung Galaxy S8 Features, 1Gbps Broadband ...) has been published on  - https://t.co/MwaNINQzh3",Reliance,NULL,NULL,"2017-03-30 22:18:29",1491325304
