time,username,tweet,company,sentiment_of_tweet,confidence_of_sentiment,date
1489917693,stocksnews9,"HERO MOTOCORP LTD. Insider Trading / SAST https://t.co/06ALx50rDA #sensex #nifty",HERO,NULL,NULL,"2017-03-18 17:30:52"
1489917693,stocksnews9,"HERO MOTOCORP LTD. Insider Trading / SAST https://t.co/06ALx4IQf0 #sensex #nifty",HERO,NULL,NULL,"2017-03-18 15:00:51"
1489917693,abjith_vilangil,"Hero MotoCorp Signed As National Supporter For FIFA U-17 World Cup https://t.co/eeuFJdpxPE via @DriveSpark #AutoNews https://t.co/7k98IBbHMQ",HERO,NULL,NULL,"2017-03-18 11:33:18"
1489917693,KennedyPaul79,"Hero MotoCorp Signed As National Supporter For FIFA U-17 World Cup https://t.co/FEIjRf6hZx via @DriveSpark #AutoNews https://t.co/xUigXTZf3X",HERO,NULL,NULL,"2017-03-18 11:33:13"
1489917694,IndiaTodayNews1,"Hero Impulse removed from Hero Motocorp’s official website  #indianauto https://t.co/FeLspflpFD https://t.co/r8bwMVn0p2",HERO,NULL,NULL,"2017-03-18 11:30:05"
1489917694,need4geeks,"Paytm – Buy Hero Cycles Turk 20T Green Dual Suspension at Rs 3518 #shoppingindia https://t.co/GrnSkfKJGA",HERO,NULL,NULL,"2017-03-18 07:35:30"
1489917694,mydealsbucket,"Paytm – Buy Hero Cycles Turk 20T Green Dual Suspension at Rs 3518 https://t.co/Cn4QGdwpjb",HERO,NULL,NULL,"2017-03-18 06:48:32"
1489917694,OnlineDealTrick,"Paytm – Buy Hero Cycles Turk 20T Green Dual Suspension at Rs 3518 https://t.co/kDwvyeNz8P https://t.co/rNNTswwked",HERO,NULL,NULL,"2017-03-18 06:42:09"
1489917694,dealnloot,"Searching for a ideal cycle for your kid ..?? Paytm is here with Hero Cycles Turk 20T Green Dual Suspension at Rs... https://t.co/K1nsIO7ifB",HERO,NULL,NULL,"2017-03-18 06:40:24"
1489917694,Earningkart,"Hero Cycles Turk 20T Green Dual Suspension @ Rs.3617 – Paytm https://t.co/SaDLXpdi08 https://t.co/NnTtn3PmvZ",HERO,NULL,NULL,"2017-03-18 06:35:02"
1489917694,3a6ab89dee41446,"RT @HeroMotoCorp: Coming up...a major announcement Hero MotoCorp #FIFA U-17 World Cup India 2017 https://t.co/6Ae3mV6IAi",HERO,NULL,NULL,"2017-03-18 06:10:40"
1489917694,37d5be516114477,"RT @HeroMotoCorp: Hero MotoCorp is 'National Supporter' of #FIFA U-17 World Cup India 2017 https://t.co/tQDpGcmXdo",HERO,NULL,NULL,"2017-03-18 06:09:49"
1489917694,37d5be516114477,"RT @HeroMotoCorp: Coming up...a major announcement Hero MotoCorp #FIFA U-17 World Cup India 2017 https://t.co/6Ae3mV6IAi",HERO,NULL,NULL,"2017-03-18 06:09:40"
1489917695,abaniku,"https://t.co/SKFSWJT8Gb Hero MotoCorp signs up as national supporter of U-17 World Cup https://t.co/dfqqF2I4Mr",HERO,NULL,NULL,"2017-03-18 03:57:16"
1489917695,itswastik,"RT @IndianFootball: Hero MotoCorp Ltd becomes the second Indian company to sign up as a National Supporter for the FIFA U-17 World Cup Indi…",HERO,NULL,NULL,"2017-03-18 03:07:53"
1489917695,stocksnews9,"HERO MOTOCORP LTD. Insider Trading / SAST https://t.co/06ALx4IQf0 #sensex #nifty",HERO,NULL,NULL,"2017-03-18 03:00:04"
1489917696,Subrata49263789,"RT @IndianFootball: Hero MotoCorp Ltd becomes the second Indian company to sign up as a National Supporter for the FIFA U-17 World Cup Indi…",HERO,NULL,NULL,"2017-03-18 02:54:20"
1489917696,sharebossindia,"HERO MOTOCORP LTD. - 500182 - Disclosures under Reg. 10(5) in respect of acquisition under Reg. 10(1)(a) of.. https://t.co/I4moKm5hB9",HERO,NULL,NULL,"2017-03-18 02:53:18"
1489917696,BalwantBPS,"RT @visionindiaspl: We Skill only for Gainful Employment! Our #DDUGKY trainees celebrating achievement- being selected with Hero MotoCorp,l…",HERO,NULL,NULL,"2017-03-18 02:28:47"
1489917696,breakingnews_no,"RT @LiveNews24x7: #BreakingNews Hero MotoCorp signs up as national supporter of U-17 World Cup https://t.co/1jekwogNt9",HERO,NULL,NULL,"2017-03-18 02:09:09"
1489917696,LiveNews24x7,"#BreakingNews Hero MotoCorp signs up as national supporter of U-17 World Cup https://t.co/1jekwogNt9",HERO,NULL,NULL,"2017-03-18 01:58:36"
1489917696,PoliticsNext,"#Breaking Hero MotoCorp signs up as national supporter of U-17 World Cup Read More : https://t.co/3F6T61k4aP",HERO,NULL,NULL,"2017-03-18 01:48:17"
1489917696,abaniku,"https://t.co/SKFSWJT8Gb Hero MotoCorp signs up as national supporter of U-17 World Cup https://t.co/QHgsAdqev3",HERO,NULL,NULL,"2017-03-18 01:42:37"
1489917696,Sports_Branding,"Hero MotoCorp to sponsor Fifa U17 World Cup https://t.co/O7WaM60vb1 #sportsmarketing",HERO,NULL,NULL,"2017-03-17 19:00:15"
1489917696,Brunoblumen,"RT @SportsPro: Soccer: @HeroMotoCorp to sponsor @FIFAcom U17 World Cup
https://t.co/Mzx7OMU1o2 #soccer #sponsorship https://t.co/QL49G89DsG",HERO,NULL,NULL,"2017-03-17 17:51:00"
1489917696,KennedyPaul79,"Hero MotoCorp Signed As National Supporter For FIFA U-17 World Cup https://t.co/ae4wCQA1wM via @DriveSpark #AutoNews https://t.co/HM2KglkfDw",HERO,NULL,NULL,"2017-03-17 17:35:53"
1489917696,abjith_vilangil,"Hero MotoCorp Signed As National Supporter For FIFA U-17 World Cup https://t.co/JOWqauzde1 via @DriveSpark #AutoNews https://t.co/z6A8aSGRq5",HERO,NULL,NULL,"2017-03-17 17:35:50"
1489917696,SoccerFlow,"Hero MotoCorp signs up as National Supporter of India 2017 https://t.co/D92WlyDyUe",HERO,NULL,NULL,"2017-03-17 17:29:18"
1489917698,SportIllustrato,"FIFA News - Hero MotoCorp signs up as National Supporter of India 2017 https://t.co/JGeJLIK7U9 #PaginaNuova #Sports",HERO,NULL,NULL,"2017-03-17 17:24:16"
1489917698,PrimaScriptura,"Hero MotoCorp signs up as National Supporter of India 2017",HERO,NULL,NULL,"2017-03-17 17:22:21"
1489917698,kmongha,"#FIFA signs #Hero #MotoCorp as national supporter of #FIFAU17 #WorldCup #India #Adidas #Wanda
https://t.co/KyWgXCNeKE via @economictimes",HERO,NULL,NULL,"2017-03-17 17:21:50"
1489917698,daguvasu,"Hero MotoCorp signs up as National Supporter of India 2017 https://t.co/dj6LLW87a8",HERO,NULL,NULL,"2017-03-17 17:21:47"
1489917698,Lord_Shonde,"Hero MotoCorp signs up as National Supporter of India 2017 https://t.co/Ord4vVMJ78 https://t.co/9itv5CKy8e",HERO,NULL,NULL,"2017-03-17 17:21:00"
1489917698,armawan1990,"#Sepakbola Hero MotoCorp signs up as National Supporter of India 2017 https://t.co/XwPmeB3xtV https://t.co/tG2sYlJDpl",HERO,NULL,NULL,"2017-03-17 17:20:54"
1489917698,FIFAgent,"Hero MotoCorp signs up as National Supporter of India 2017 https://t.co/KCvsfIIHED",HERO,NULL,NULL,"2017-03-17 17:20:41"
1489917698,KushaalPatel,"""Hero MotoCorp signs up as National Supporter of India 2017"" https://t.co/QmPCq6votl",HERO,NULL,NULL,"2017-03-17 17:20:16"
1489917698,usmnt_com,"Hero MotoCorp signs up as National Supporter of India 2017 https://t.co/xjGbGlXhIs Read more @ https://t.co/Mo2L3XuDJm",HERO,NULL,NULL,"2017-03-17 17:19:38"
1489917698,maxdelabre,"#Sportbiz:Soccer: HeroMotoCorp to sponsor FIFAcom U17 World Cup
https://t.co/rbrKU3kHZQ #soccer #sponsorship https://t.co/Lv9dQygZ2h",HERO,NULL,NULL,"2017-03-17 17:09:43"
1489917698,Cleansheet,"Hero MotoCorp Signed As National Supporter For FIFA U-17 #WorldCup https://t.co/0ER22zuPjl #Russia2018",HERO,NULL,NULL,"2017-03-17 16:56:38"
1489917698,INSubcontinent,"Sports: Hero MotoCorp signs up as Nati .. #TISNews Link - https://t.co/XnKjmtW0Ob https://t.co/AaSStudurg",HERO,NULL,NULL,"2017-03-17 16:10:16"
1489917698,SkillsASDC,"RT @visionindiaspl: We Skill only for Gainful Employment! Our #DDUGKY trainees celebrating achievement- being selected with Hero MotoCorp,l…",HERO,NULL,NULL,"2017-03-17 15:37:16"
1489917699,KennedyPaul79,"Hero MotoCorp Signed As National Supporter For FIFA U-17 World Cup https://t.co/GhjKUi2mwX via @DriveSpark #AutoNews https://t.co/zZQV3wwWNe",HERO,NULL,NULL,"2017-03-17 15:27:29"
1489917700,abjith_vilangil,"Hero MotoCorp Signed As National Supporter For FIFA U-17 World Cup https://t.co/rNdh3icEr6 via @DriveSpark #AutoNews https://t.co/hkHhaMFOuA",HERO,NULL,NULL,"2017-03-17 15:27:26"
