time,username,tweet,company,sentiment_of_tweet,confidence_of_sentiment,date
1486284639,t00zday,"RT @RoyBeck_NUSA: Sober contributions to debate from @NaylaRush:Trump does not need to put a perm halt to refugee resettlement program http…",Reliance,NULL,NULL,"2017-02-04 23:57:44"
1486284639,RitonKhan,"Affordable healthcare; our reliance on rural Oregon: Letters to the editor https://t.co/bsr4WH6PB3 #healthcare #healthitbuzz #healthit",Reliance,NULL,NULL,"2017-02-04 23:56:19"
1486284639,Sofia_Rbn,"RT @DaddiiesFR: https://t.co/1BAOgsYB5r",Reliance,NULL,NULL,"2017-02-04 23:55:50"
1486284639,UseCommon,"@hackernewsbot @qz With decades of reliance on foreign buyers, new tax impacts short term but Vancouver doesnt have long term solution",Reliance,NULL,NULL,"2017-02-04 23:54:18"
1486284639,brainfart76,"RT @RoyBeck_NUSA: Sober contributions to debate from @NaylaRush:Trump does not need to put a perm halt to refugee resettlement program http…",Reliance,NULL,NULL,"2017-02-04 23:52:49"
1486284639,JZmirak,"RT @RoyBeck_NUSA: ""empowering millions of refugees close to their home, and working on ending conflicts to secure their safe return."" https…",Reliance,NULL,NULL,"2017-02-04 23:51:16"
1486284639,finiscook,"RT @TeslaMotors: Meet the utility grid of the future. Tesla's Powerpack installation at @SCE's substation will reduce the LA Basin's relian…",Reliance,NULL,NULL,"2017-02-04 23:48:07"
1486284639,bikerbd,"RT @RoyBeck_NUSA: ""empowering millions of refugees close to their home, and working on ending conflicts to secure their safe return."" https…",Reliance,NULL,NULL,"2017-02-04 23:47:50"
1486284639,FieldRoamer,"RT @RoyBeck_NUSA: ""empowering millions of refugees close to their home, and working on ending conflicts to secure their safe return."" https…",Reliance,NULL,NULL,"2017-02-04 23:47:31"
1486284639,DGCountyGOP,"RT @RoyBeck_NUSA: ""empowering millions of refugees close to their home, and working on ending conflicts to secure their safe return."" https…",Reliance,NULL,NULL,"2017-02-04 23:46:56"
